64.8839	2	-0.0808832  0.0724476    2.75456    12.8148    12.7418	-0.0793047  0.0724328    2.75456    12.8148    12.7418	  0.00110777 -1.68156e-44  1.68156e-44  0.000214739  0.000214739	5.88176
147.861	2	-0.0764328  0.0724328    2.75456    12.8148    12.7418	-0.077556 0.0724328   2.75456   12.8148   12.7418	 -0.00100013 -1.68156e-44  0.000812866  1.10355e-32 -1.10355e-32	-10.6697
201.642	2	-0.0783979  0.0724328    2.75456    12.8148    12.7418	-0.0774481  0.0724328    2.75456    12.8148    12.7418	  0.00100561 -1.68156e-44  1.68156e-44 -1.23765e-10 -1.21434e-10	6.07274
281.145	2	-0.0720691  0.0724328    2.75273    12.8148    12.7418	-0.073243 0.0724328   2.75456   12.8148   12.7418	 -0.00111035 -1.68156e-44  2.11598e-08 -1.30388e-19  1.26433e-19	-9.85935
337.874	2	-0.0744677  0.0724328    2.75456     12.815    12.7416	-0.0730911  0.0723588    2.75456    12.8157    12.7409	  0.00108064 -1.68156e-44 -1.68156e-44  0.000209332 -0.000209332	5.70777
427.089	2	-0.0667517  0.0723588    2.75456    12.8157    12.7409	-0.0684502  0.0723588    2.75456    12.8157    12.7409	 -0.00103623 -1.68156e-44  1.68156e-44  -0.00299367  -0.00415178	-10.0734
480.338	2	-0.0705664  0.0723588    2.75456    12.8165    12.7418	-0.0690122  0.0723588    2.75456    12.8157    12.7409	   0.0010841 -1.68156e-44 -5.46478e-41 -7.59102e-05 -7.59102e-05	5.09681
541.835	2	-0.0658269  0.0723588    2.75456    12.8165    12.7418	-0.0666007  0.0723588    2.75456    12.8165    12.7418	 -0.00107186 -1.68156e-44  1.68156e-44  0.000252061   0.00010789	-7.82062
600.83	2	-0.0678499  0.0723588    2.75456    12.8157    12.7409	-0.0664693  0.0723588    2.75456    12.8157    12.7409	   0.0010682 -1.68156e-44 -1.68156e-44  -0.00150838  -0.00150838	5.82676
667.241	2	-0.0511753  0.0723588    2.75273    12.8157    12.7409	-0.0527827  0.0723588    2.75273    12.8165    12.7418	 -0.00118007 -1.68156e-44 -7.64333e-19  3.14286e-05  2.87311e-06	-6.58771
716.247	2	-0.0555679  0.0723588    2.75273    12.8165    12.7418	-0.0545095  0.0723588    2.75273    12.8165    12.7418	  0.00118212 -1.68156e-44 -1.68156e-44   0.00367687   0.00367687	4.94082
741.427	2	-0.0534872  0.0723588    2.75273    12.8157    12.7409	-0.0536317  0.0723588    2.75273    12.8157    12.7409	-2.21535e-05 -1.68156e-44 -1.68156e-44   -0.0025102  -0.00251073	4.94082
