79.1179	1	-0.0768752 -0.0121798   -9.85714    -2.0233   -12.4412	-0.0768636 -0.0116094   -9.85531   -2.02549    -12.439	0.000184894  0.00122995 1.68156e-44  -0.0304103   0.0227739	10.2805
150.957	1	-0.075777 0.0651279  -9.85531  -2.02415  -12.4404	-0.075777 0.0644761  -9.85531  -2.02408  -12.4404	 1.68156e-44  -0.00113048 -1.68156e-44  -0.00289281   0.00288588	-9.12306
224.836	1	-0.075777 -0.036416  -9.85348   -2.0234  -12.4411	 -0.075777 -0.0356606   -9.85348   -2.02372     -12.44	1.68156e-44  0.00113153 1.68156e-44  0.00203007  0.00365463	9.13106
300.541	1	-0.075777 0.0460671  -9.85348  -2.02399  -12.4405	-0.075777  0.045395  -9.85348   -2.0233  -12.4395	1.68156e-44 -0.00112366 1.68156e-44  0.00263422  0.00404857	-9.69129
390.085	1	 -0.075777 -0.0469002   -9.85348    -2.0233   -12.4395	-0.0757481 -0.0461449   -9.85348   -2.02415   -12.4404	1.68156e-44  0.00114482 1.68156e-44 -0.00296704 -0.00167019	11.7291
450.601	1	-0.0756614  0.0885952   -9.73993    -2.0233   -12.4412	-0.0756614   0.087976   -9.73993    -2.0237   -12.4408	1.68156e-44 -0.00114794 1.68156e-44  -0.0015817  0.00116727	-7.38165
543.618	1	-0.0756614  0.0589025   -9.73993   -2.02395   -12.4405	-0.0756614  0.0597436   -9.73993   -2.02329   -12.4412	 1.68156e-44    0.0011492  1.68156e-44 -6.57572e-05  -0.00145562	12.1303
604.792	1	-0.0756614  0.0879002   -9.73993    -2.0233   -12.4412	-0.0756614  0.0869608   -9.73993    -2.0233   -12.4412	 1.68156e-44   -0.0010795 -1.68156e-44  4.92652e-05 -0.000264441	-6.33572
709.209	1	-0.0756614  0.0833162   -9.73993   -2.02311   -12.4414	-0.0756614  0.0841953   -9.73993    -2.0233   -12.4412	 1.68156e-44   0.00115999 -1.68156e-44  -0.00118053  -0.00126937	14.03
772.394	1	-0.0756614   0.087634   -9.73993    -2.0233   -12.4412	-0.0756614  0.0869134   -9.73993    -2.0233   -12.4412	 1.68156e-44  -0.00118209 -1.68156e-44  -0.00148031  -0.00292497	-7.37365
821.216	1	-0.0756614  0.0648617   -9.73993   -2.02331   -12.4412	-0.0756614  0.0650392   -9.73993   -2.02319   -12.4413	 1.68156e-44  7.78918e-08 -1.68156e-44  0.000268548  -0.00300014	-7.37365
