53.9898	2	-0.0780511 -0.0767852    13.2894   -7.97123   -17.8673	-0.0771907 -0.0767704    13.2894   -7.97132   -17.8672	  0.00108527  1.68156e-44 -1.68156e-44  0.000952325 -0.000960141	5.90975
99.5858	2	-0.0464648 -0.0767704    13.2857   -7.97161   -17.8669	-0.0472053 -0.0767704    13.2857   -7.97132   -17.8672	-0.00112075 1.68156e-44 1.68156e-44 -0.00211626   0.0021235	-5.18881
159.471	2	-0.0486322 -0.0767704    13.2857   -7.97094   -17.8675	-0.0473135 -0.0767704    13.2857   -7.97094   -17.8675	  0.00107845  1.68156e-44  1.68156e-44  5.03905e-05 -5.00275e-05	6.33672
205.072	2	-0.0451354 -0.0767704    13.2857   -7.97139   -17.8671	-0.0461141 -0.0767704    13.2857   -7.97094   -17.8675	-0.00101006 1.68156e-44 1.68156e-44  0.00234826 -0.00234333	-4.60285
232.813	2	-0.0466382 -0.0767704    13.2857   -7.97179   -17.8684	-0.0464082 -0.0764638    13.2903     -7.968   -17.8694	0.00129461 0.00471279  0.0557038  0.0375664 -0.0219741	3.35594
289.183	2	-0.0463781 -0.0754839     13.271   -7.97094   -17.8675	 -0.047094 -0.0754839     13.271   -7.97094   -17.8675	 -0.00103189  1.68156e-44 -1.68156e-44 -3.07695e-05  3.08087e-05	-7.07467
351.415	2	-0.0528803 -0.0754839     13.271   -7.97009   -17.8684	-0.0508349 -0.0754839     13.271   -7.97012   -17.8684	    0.001073  1.68156e-44 -1.68156e-44   0.00222266  -0.00221722	5.07881
413.387	2	-0.0497592 -0.0754839     13.271   -7.97013   -17.8684	 -0.050991 -0.0754839     13.271   -7.97093   -17.8676	 -0.00115774  1.68156e-44 -1.68156e-44  -0.00111237   0.00112239	-6.82269
479.965	2	-0.0528225 -0.0754839     13.271   -7.97094   -17.8675	-0.0508903 -0.0754839     13.271   -7.97093   -17.8676	  0.00103001  1.68156e-44 -1.68156e-44  -0.00429799    0.0042922	6.07074
522.839	2	-0.0450776 -0.0754839     13.271   -7.97067   -17.8678	-0.0458181 -0.0754839     13.271   -7.97009   -17.8684	 -0.00109045  1.68156e-44 -1.68156e-44   0.00345652  -0.00345621	-4.83583
572.186	2	-0.0734273 -0.0353661    3.60987   -10.3194    8.66547	-0.0727446 -0.0353513    3.60987   -10.3194    8.66547	  0.00117804  1.68156e-44  1.68156e-44 -0.000986882  0.000986882	5.09281
